borough,mean_lst_celsius,green_cover_pct,priority_zone
Brent,42.29,13.27258541671141,True
Kingston upon Thames,41.54,13.482093977212187,True
Ealing,41.41,17.74501534039612,False
Richmond upon Thames,41.33,49.39791831185526,False
Merton,41.28,31.58064976278334,False
Hounslow,41.04,19.753248614964498,False
Hammersmith and Fulham,41.0,14.759429900399642,True
Sutton,40.18,17.166857340851188,False
Southwark,39.83,17.68550933384234,False
Harrow,39.58,13.09028610756992,True
Wandsworth,39.46,23.99420304795442,False
Hillingdon,39.43,11.38295774080505,True
Lewisham,39.39,15.367611931303141,True
Greenwich,38.87,20.35285958589852,False
Lambeth,38.77,10.635431096560586,True
City of London,38.71,2.564756196668115,True
Kensington and Chelsea,38.31,12.19159046682238,False
Croydon,38.28,17.431963777918547,False
Barnet,38.04,16.95610160033084,False
Camden,37.83,22.025905116753616,False
Barking and Dagenham,37.74,16.035752425382093,False
Westminster,37.6,21.876617187920836,False
Newham,37.46,11.952875888147146,False
Bromley,37.17,12.410789355532934,False
Redbridge,37.17,28.967535486645,False
Bexley,37.06,13.003741230451057,False
Tower Hamlets,36.42,13.099537129662433,False
Islington,35.48,6.461121206823349,False
Hackney,34.95,18.842286923691294,False
Havering,32.22,13.540898375563042,False
Haringey,31.47,17.579312064263533,False
Waltham Forest,31.36,11.00228493113144,False
Enfield,31.15,15.869956899708711,False
